# frame +z -z 
1 0 0
2 0 0
3 0 6
4 0 25
5 0 43
6 0 66
7 0 90
8 0 113
9 0 133
10 0 153
11 0 176
12 0 200
13 0 222
14 0 245
15 0 269
16 0 292
17 0 312
18 0 332
19 0 354
20 0 377
21 0 400
22 0 426
23 0 450
24 0 471
25 0 491
26 0 515
27 0 540
28 0 562
29 0 586
30 0 611
31 0 635
32 0 657
33 0 677
34 0 700
35 0 723
36 0 743
37 0 764
38 0 789
39 0 811
40 0 836
41 0 858
42 0 885
43 0 908
44 0 931
45 0 955
46 0 980
47 0 1003
48 0 1027
49 0 1052
50 0 1073
51 0 1092
52 0 1117
53 0 1143
54 0 1167
55 0 1191
56 0 1213
57 0 1236
58 0 1263
59 0 1288
60 0 1312
61 0 1336
62 0 1363
63 0 1388
64 0 1412
65 0 1435
66 0 1463
67 0 1489
68 0 1515
69 0 1540
70 0 1566
71 0 1589
72 0 1617
73 0 1641
74 0 1669
75 0 1695
76 0 1722
77 0 1746
78 0 1774
79 0 1801
80 0 1826
81 0 1853
82 0 1880
83 0 1909
84 0 1938
85 0 1961
86 0 1986
87 0 2012
88 0 2041
89 0 2069
90 0 2090
91 0 2114
92 0 2142
93 0 2168
94 0 2192
95 0 2220
96 0 2246
97 0 2274
98 0 2300
99 0 2328
100 0 2354
101 0 2381
102 0 2409
103 0 2440
104 0 2465
105 0 2492
106 0 2522
107 0 2553
108 0 2583
109 0 2613
110 0 2640
111 0 2673
112 0 2703
113 0 2734
114 0 2765
115 0 2796
116 0 2826
117 0 2854
118 0 2879
119 0 2912
120 0 2942
121 0 2971
122 0 3002
123 0 3030
124 0 3058
125 0 3089
126 0 3123
127 0 3155
128 0 3188
129 0 3219
130 0 3248
131 0 3278
132 0 3307
133 0 3334
134 0 3367
135 0 3395
136 0 3424
137 0 3450
138 0 3483
139 0 3511
140 0 3543
141 0 3577
142 0 3610
143 0 3640
144 0 3671
145 0 3701
146 0 3730
147 0 3760
148 0 3791
149 0 3821
150 0 3848
151 0 3880
152 0 3908
153 0 3938
154 0 3967
155 0 3998
156 0 4028
157 0 4058
158 0 4091
159 0 4123
160 0 4154
161 0 4183
162 0 4210
163 0 4239
164 0 4265
165 0 4294
166 0 4321
167 0 4350
168 0 4377
169 0 4409
170 0 4435
171 0 4465
172 0 4492
173 0 4522
174 0 4550
175 0 4577
176 0 4608
177 0 4639
178 0 4666
179 0 4697
180 0 4724
181 0 4750
182 0 4778
183 0 4802
184 0 4827
185 0 4854
186 0 4879
187 0 4908
188 0 4936
189 0 4964
190 0 4991
191 0 5017
192 0 5042
193 0 5069
194 0 5098
195 0 5124
196 0 5147
197 0 5171
198 0 5195
199 0 5223
200 0 5249
